epoch,accuracy,f1_score,loss,lr,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.8238319754600525,0.7608842849731445,0.590606153011322,0.001,0.8939882516860962,0.775939404964447,0.5187220573425293,0.41360247135162354,3.2262794971466064,0.5508933067321777,0.502608060836792
1,0.9305329322814941,0.9057891368865967,0.21775677800178528,0.001,0.94455885887146,0.9172167181968689,0.8787257671356201,0.8241531252861023,0.45793914794921875,0.8943891525268555,0.8700633645057678
2,0.9466494917869568,0.9278014302253723,0.16680124402046204,0.001,0.9561216831207275,0.9383625984191895,0.9197093844413757,0.8920833468437195,0.3035910129547119,0.9242694973945618,0.9162630438804626
3,0.9542220234870911,0.939873456954956,0.14224496483802795,0.001,0.9613011479377747,0.9483354687690735,0.8545082211494446,0.8276223540306091,0.5428180694580078,0.8670172095298767,0.8447279930114746
4,0.961937427520752,0.9496385455131531,0.12034232914447784,0.001,0.9673941135406494,0.9563366174697876,0.8582339882850647,0.842263400554657,0.5755724906921387,0.8702079057693481,0.8499441146850586
5,0.9671095609664917,0.9556523561477661,0.10466299951076508,0.001,0.9712433218955994,0.963194727897644,0.8950260877609253,0.9039758443832397,0.4081752598285675,0.9007633328437805,0.8902757167816162
6,0.9679668545722961,0.95782870054245,0.09768932312726974,0.001,0.9721101522445679,0.9641377329826355,0.9662816524505615,0.9535019397735596,0.10748842358589172,0.9688114523887634,0.9634873270988464
7,0.9727389812469482,0.9626553058624268,0.08526226133108139,0.001,0.9757002592086792,0.9695385098457336,0.9657227993011475,0.9479631185531616,0.11773822456598282,0.9696373343467712,0.9637667536735535
8,0.974224865436554,0.9657602906227112,0.0807211622595787,0.001,0.9774693250656128,0.9719388484954834,0.9764344096183777,0.9645516276359558,0.07787314802408218,0.978763222694397,0.9744783639907837
9,0.9761394262313843,0.9688307046890259,0.07184218615293503,0.001,0.9787472486495972,0.9738248586654663,0.937220573425293,0.9076030850410461,0.26831093430519104,0.9427362680435181,0.933867335319519
10,0.9766252040863037,0.9690899848937988,0.07291452586650848,0.001,0.9794089794158936,0.9745392203330994,0.9443926811218262,0.921833336353302,0.18443310260772705,0.9484100937843323,0.9417846202850342
11,0.9799113869667053,0.972403347492218,0.06162775680422783,0.001,0.982124924659729,0.9781397581100464,0.9840722680091858,0.9709671139717102,0.05840407684445381,0.9860799908638,0.9831408262252808
12,0.981597363948822,0.9750537872314453,0.05763019621372223,0.001,0.983426034450531,0.9800257086753845,0.9796944856643677,0.9709509015083313,0.07339175045490265,0.9805037379264832,0.9790424704551697
13,0.9795970916748047,0.9709450602531433,0.06080203130841255,0.001,0.9814183115959167,0.9779968857765198,0.9752235412597656,0.9687291979789734,0.09012265503406525,0.9763015508651733,0.9746646881103516
14,0.9842263460159302,0.9782849550247192,0.048817433416843414,0.001,0.9856753945350647,0.9831404685974121,0.9596683979034424,0.9578671455383301,0.16547080874443054,0.9620857238769531,0.9572466611862183
15,0.9834262132644653,0.9787037372589111,0.05394882708787918,0.001,0.9851503372192383,0.9819974303245544,0.9900335073471069,0.9860578775405884,0.033078961074352264,0.9903057217597961,0.9895678162574768
16,0.9858265519142151,0.9803619384765625,0.045115940272808075,0.001,0.9869371056556702,0.9844834804534912,0.9551043510437012,0.9457651376724243,0.17414940893650055,0.9579981565475464,0.9538934230804443
17,0.9856550693511963,0.9805036783218384,0.044491756707429886,0.001,0.9868790507316589,0.9843692183494568,0.9804396629333496,0.9720215797424316,0.07060834020376205,0.981341540813446,0.9797876477241516
18,0.9851121306419373,0.9791315793991089,0.04724784567952156,0.001,0.9865058660507202,0.9839405417442322,0.9806259274482727,0.9751380085945129,0.06991948187351227,0.9817944169044495,0.9795082211494446
19,0.9865409135818481,0.9824888110160828,0.041208427399396896,0.001,0.9878268837928772,0.9855121970176697,0.9918032884597778,0.989363431930542,0.026436207816004753,0.9922639727592468,0.99161696434021
20,0.9888269901275635,0.983677089214325,0.03754543513059616,0.001,0.9897223114967346,0.987883985042572,0.9779247641563416,0.9642159342765808,0.08032719790935516,0.9802803993225098,0.9769933223724365
21,0.9876839518547058,0.9831030964851379,0.03951454162597656,0.001,0.9887177348136902,0.9866552352905273,0.9880775213241577,0.9829981923103333,0.039195287972688675,0.9887158274650574,0.9875186085700989
22,0.988341212272644,0.9842564463615417,0.03516227751970291,0.001,0.9892956018447876,0.9877125024795532,0.9796944856643677,0.9697242379188538,0.08291490375995636,0.980589747428894,0.9787630438804626
23,0.9875982403755188,0.9830304384231567,0.04127420857548714,0.001,0.9886047840118408,0.9866837859153748,0.9732674956321716,0.9665775299072266,0.0946006029844284,0.974315881729126,0.9716840386390686
24,0.990570068359375,0.9875800609588623,0.028984669595956802,0.001,0.9912468791007996,0.9902271628379822,0.9764344096183777,0.9689834713935852,0.08576671034097672,0.9777985215187073,0.9763413071632385
25,0.9959422945976257,0.99381023645401,0.013116102665662766,0.00020000001,0.9961978197097778,0.9957708120346069,0.9974851012229919,0.9960905313491821,0.012011082842946053,0.997856855392456,0.9974851012229919
26,0.9971138834953308,0.9962036609649658,0.008775216527283192,0.00020000001,0.9971136450767517,0.9970281720161438,0.997112512588501,0.9958211779594421,0.011509486474096775,0.9972051382064819,0.997019350528717
27,0.9976853728294373,0.9963557720184326,0.007320821285247803,0.00020000001,0.9977707862854004,0.9976282119750977,0.9966468214988708,0.9951663613319397,0.01270216889679432,0.9967396259307861,0.9966468214988708
