epoch,accuracy,f1_score,loss,lr,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.846519291,0.792055547,0.509423137,0.001,0.905117929,0.805733442,0.811941147,0.756487906,0.754633963,0.833592713,0.798342049
1,0.939314663,0.91871804,0.191004366,0.001,0.950349808,0.929169834,0.941412091,0.923413932,0.186002821,0.95107615,0.934333086
2,0.9515481,0.934877694,0.150729388,0.001,0.959747195,0.944547713,0.866989553,0.859744906,0.556105614,0.88026756,0.858047664
3,0.958846867,0.944001853,0.125391603,0.001,0.965404272,0.953682661,0.931352437,0.909502804,0.264475524,0.936594546,0.927347243
4,0.965273499,0.954581797,0.108083643,0.001,0.969726443,0.960912585,0.94523102,0.921964467,0.210737005,0.948616982,0.942343533
5,0.971975505,0.961124301,0.09002322,0.001,0.975804985,0.968257248,0.952682555,0.924991786,0.202977687,0.955898881,0.950912833
6,0.973398507,0.964181721,0.08209727,0.001,0.976270735,0.970736086,0.953055143,0.934076309,0.194362909,0.95723933,0.950819671
7,0.975739658,0.967962146,0.07874161,0.001,0.979056001,0.973146021,0.978576779,0.972927392,0.063699938,0.979919672,0.977272749
8,0.978034854,0.970327675,0.069187634,0.001,0.98087877,0.976060987,0.965815961,0.95073247,0.127080306,0.967539728,0.963394165
9,0.980146408,0.974014878,0.062563054,0.001,0.982573807,0.97837913,0.980812192,0.96890527,0.059420716,0.981986165,0.979973912
10,0.98074317,0.973628521,0.059620723,0.001,0.982745528,0.979136527,0.945417285,0.930466712,0.201205105,0.94824034,0.943647563
11,0.983176112,0.977891922,0.053510755,0.001,0.985057116,0.981959641,0.977459013,0.970736146,0.073548533,0.979427695,0.97559613
12,0.983749926,0.977236986,0.050486166,0.001,0.985222697,0.982418716,0.972429216,0.963308632,0.099892981,0.973225117,0.971684039
13,0.985379517,0.981168151,0.047178689,0.001,0.986949921,0.984208941,0.969448566,0.955175996,0.100506894,0.971676946,0.968237698
14,0.985792637,0.982120395,0.044163465,0.001,0.986822128,0.984851599,0.967399418,0.953782558,0.141446352,0.968443632,0.96618855
15,0.994743943,0.992686033,0.014567263,0.0002,0.995199502,0.99446857,0.996553659,0.994780064,0.010260691,0.996739328,0.996553659
16,0.996557176,0.994910002,0.009540481,0.0002,0.996648312,0.996442437,0.998416543,0.997476161,0.007063762,0.998416424,0.998323381
17,0.996878505,0.995495558,0.010346894,0.0002,0.997038305,0.996740818,0.996181071,0.994472623,0.012401687,0.996366024,0.995994806
18,0.99713099,0.995868981,0.009155642,0.0002,0.997176409,0.997016251,0.997205675,0.995379627,0.010124106,0.997298539,0.997205675
19,0.996947348,0.995287061,0.00852503,0.0002,0.99706161,0.996878505,0.997764528,0.996415675,0.010103452,0.997764528,0.997764528
20,0.997567058,0.996361673,0.007472768,0.0002,0.997658432,0.997452319,0.997298837,0.996132195,0.010477686,0.997298837,0.997298837
21,0.997245729,0.996173561,0.008025867,0.0002,0.997360051,0.997176886,0.997671366,0.99668622,0.009701503,0.997671366,0.997671366
22,0.99754411,0.995914876,0.007094268,0.0002,0.997589767,0.997475266,0.997671366,0.996175885,0.009185586,0.997764349,0.997671366
23,0.997612953,0.996157587,0.006947941,0.0002,0.997704327,0.997498214,0.997950792,0.997023225,0.010223703,0.997950792,0.997950792
24,0.998599946,0.997950375,0.004525307,4.00E-05,0.998668671,0.998576999,0.998416543,0.997527659,0.00899118,0.998416543,0.998416543
25,0.998622894,0.997938931,0.003736557,4.00E-05,0.998645723,0.998553991,0.998602808,0.997676432,0.007894065,0.998602808,0.998602808
26,0.998944223,0.998402536,0.003115898,4.00E-05,0.998990059,0.998921275,0.99869597,0.997949421,0.007653733,0.99869597,0.99869597
27,0.998944223,0.99838829,0.003467602,4.00E-05,0.998944163,0.998921275,0.998230278,0.996898174,0.008826057,0.998230278,0.998230278
28,0.999219656,0.998757422,0.002719758,4.00E-05,0.999219596,0.999173701,0.998509705,0.997467756,0.007467209,0.998509705,0.998509705
29,0.999058962,0.998672962,0.003167991,4.00E-05,0.99908185,0.999013066,0.998416543,0.997403502,0.007649119,0.998416543,0.998416543
