epoch,accuracy,f1_score,loss,lr,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.761435866355896,0.6902500987052917,0.795481264591217,0.001,0.8622152209281921,0.6905598044395447,0.8966095447540283,0.8392741084098816,0.32849231362342834,0.9195559024810791,0.879470944404602
1,0.9000665545463562,0.8668316006660461,0.3065023422241211,0.001,0.9216925501823425,0.8804195523262024,0.8608420491218567,0.8154855370521545,0.5447142124176025,0.8717973232269287,0.8525521755218506
2,0.9251302480697632,0.902371883392334,0.2282371073961258,0.001,0.9382556080818176,0.9137918949127197,0.931725025177002,0.9051871299743652,0.2182159125804901,0.9406635165214539,0.9243665933609009
3,0.9357800483703613,0.9159946441650391,0.19114485383033752,0.001,0.9468454122543335,0.9272648096084595,0.9470939040184021,0.9317550659179688,0.17510099709033966,0.9509629011154175,0.9429023861885071
4,0.946085512638092,0.930417001247406,0.1635492444038391,0.001,0.9544182419776917,0.9390621781349182,0.9209202527999878,0.9000100493431091,0.2820824980735779,0.9269281625747681,0.9157041907310486
5,0.9515251517295837,0.9368748664855957,0.1441844403743744,0.001,0.9592126607894897,0.9451444745063782,0.9729880690574646,0.9639002084732056,0.08876943588256836,0.9742942452430725,0.9708457589149475
6,0.9579976797103882,0.9449609518051147,0.12812088429927826,0.001,0.9639037847518921,0.9536826610565186,0.9517511129379272,0.9386530518531799,0.14769335091114044,0.9571186900138855,0.9480253458023071
7,0.9629782438278198,0.9504876136779785,0.11324615776538849,0.001,0.9673289060592651,0.9588698148727417,0.9636736512184143,0.9539425373077393,0.12294886261224747,0.9667353630065918,0.9609724283218384
8,0.9645389914512634,0.9520273804664612,0.10596518963575363,0.001,0.9695004820823669,0.9608666896820068,0.9687965512275696,0.9625770449638367,0.10020559281110764,0.9710171818733215,0.9673994183540344
9,0.9680506587028503,0.9577172994613647,0.09666359424591064,0.001,0.9715138077735901,0.9643783569335938,0.9672130942344666,0.9547315835952759,0.11565284430980682,0.970323920249939,0.9654433727264404
10,0.9689916968345642,0.9599692821502686,0.09235129505395889,0.001,0.973026692867279,0.966237485408783,0.9688897132873535,0.9607977867126465,0.10552139580249786,0.9720273017883301,0.9677720069885254
11,0.9877665042877197,0.983498215675354,0.035167984664440155,0.00020000001,0.9891406893730164,0.9867795705795288,0.9948770403862,0.9923322796821594,0.020742002874612808,0.9951537847518921,0.9945976138114929
12,0.9915995597839355,0.9888235330581665,0.025402532890439034,0.00020000001,0.9922550320625305,0.9909569025039673,0.9937593340873718,0.9919192790985107,0.02517387457191944,0.9939439296722412,0.9936661720275879
13,0.9918749332427979,0.9890814423561096,0.02307559736073017,0.00020000001,0.9926691651344299,0.9914388656616211,0.9952496290206909,0.9937652945518494,0.019500400871038437,0.9954338073730469,0.9949702024459839
14,0.992425799369812,0.9894596934318542,0.02076639048755169,0.00020000001,0.9930384755134583,0.9920356273651123,0.994225025177002,0.9922392964363098,0.025303266942501068,0.9946873188018799,0.9940387606620789
15,0.9921733140945435,0.9890890717506409,0.020797086879611015,0.00020000001,0.9926033020019531,0.9917831420898438,0.993573009967804,0.9912109375,0.024208953604102135,0.9937564134597778,0.9932935833930969
16,0.9931832551956177,0.9909992218017578,0.020560460165143013,0.00020000001,0.993523359298706,0.9928848743438721,0.9952496290206909,0.9939151406288147,0.019811328500509262,0.995526134967804,0.9948770403862
17,0.9942390322685242,0.9920268058776855,0.017880389466881752,0.00020000001,0.9945117831230164,0.9940324425697327,0.9950633645057678,0.9932448863983154,0.022094544023275375,0.995246946811676,0.9946907758712769
18,0.9944226145744324,0.9920642375946045,0.01636604219675064,0.00020000001,0.9947867393493652,0.9941931366920471,0.9944113492965698,0.9927070736885071,0.023125994950532913,0.9948741793632507,0.9943181872367859
19,0.9941701889038086,0.9915303587913513,0.017109746113419533,0.00020000001,0.9944193363189697,0.9938259124755859,0.9966468214988708,0.9956062436103821,0.016978027299046516,0.9970179796218872,0.9965536594390869
