epoch,acc,loss,lr,val_acc,val_loss
0,0.7354375123977661,0.9214682579040527,0.001,0.5149375200271606,2.319417715072632
1,0.8867121338844299,0.36312100291252136,0.001,0.6912500262260437,1.4315377473831177
2,0.9163749814033508,0.25981950759887695,0.001,0.8027499914169312,0.7441176176071167
3,0.9298992156982422,0.21096764504909515,0.001,0.8863750100135803,0.4494648575782776
4,0.9361582398414612,0.1983615905046463,0.001,0.882937490940094,0.3957274854183197
5,0.9449834227561951,0.16724030673503876,0.001,0.9414374828338623,0.19341780245304108
6,0.9486136436462402,0.15523819625377655,0.001,0.940625011920929,0.22798492014408112
7,0.9561244249343872,0.1333477646112442,0.001,0.9031875133514404,0.3722320795059204
8,0.9590661525726318,0.1254439502954483,0.001,0.8897500038146973,0.4766395390033722
9,0.9590661525726318,0.12478017061948776,0.001,0.9469375014305115,0.18298982083797455
10,0.9650121927261353,0.11441818624734879,0.001,0.9731875061988831,0.09215477108955383
11,0.9649999737739563,0.10975027829408646,0.001,0.8730624914169312,0.5025038123130798
12,0.9632499814033508,0.11342091113328934,0.001,0.7944999933242798,1.1460022926330566
13,0.9662014245986938,0.09869638085365295,0.001,0.9216874837875366,0.32014480233192444
14,0.9678750038146973,0.09607156366109848,0.001,0.921999990940094,0.33168545365333557
15,0.9698749780654907,0.08898282796144485,0.001,0.9470000267028809,0.19736383855342865
16,0.9871690273284912,0.04005764424800873,0.00020000001,0.9952499866485596,0.02129482664167881
17,0.9908618927001953,0.0272352434694767,0.00020000001,0.9951249957084656,0.020883049815893173
18,0.991937518119812,0.023919206112623215,0.00020000001,0.9947500228881836,0.021106403321027756
19,0.9931777119636536,0.020173802971839905,0.00020000001,0.9961875081062317,0.018679730594158173
