epoch,acc,loss,lr,val_acc,val_loss
0,0.71975,0.968086007386446,0.001,0.7373125,1.0639680729806422
1,0.8706427185830414,0.41600519034507255,0.001,0.729625,1.3960970988869668
2,0.9034983415695848,0.3011564620669624,0.001,0.76425,1.0622826795727014
3,0.9170625,0.25525655172020195,0.001,0.8483125,0.5863193366006016
4,0.9319375,0.2182609581463039,0.001,0.8843125,0.4238753809556365
5,0.9352049128926179,0.2015727254748718,0.001,0.8664375,0.5564478960074485
6,0.9445,0.17762145078741015,0.001,0.9015625,0.36513931926712395
7,0.9445522248136944,0.17438281729739988,0.001,0.908,0.3186344165792689
8,0.9501875,0.15401769066043197,0.001,0.897625,0.3716221156262327
9,0.9533137242630954,0.14336078643097785,0.001,0.953,0.148399334915448
10,0.9565,0.13460257942881435,0.001,0.924875,0.2629764605220407
11,0.9572563990423696,0.13614216272770086,0.001,0.5885,2.906869656920433
12,0.9574375,0.129703020516783,0.001,0.9288125,0.31285395277664063
13,0.9604480881343027,0.12092874082397166,0.001,0.9148125,0.30821868912968786
14,0.963639777207585,0.11627505443931013,0.001,0.94475,0.193477803691756
15,0.9824770010638963,0.05375725175367992,0.00020000001,0.9905625,0.029624672911886592
16,0.9889375,0.034254980821657226,0.00020000001,0.9898125,0.02943329393789827
17,0.9902997684460855,0.0289377532856978,0.00020000001,0.98975,0.030888698419905266
18,0.9896875,0.03155144731324981,0.00020000001,0.9891875,0.03684404623726732
19,0.9914375,0.026104126053091023,0.00020000001,0.9928125,0.022601323115136438
