epoch,acc,loss,lr,val_acc,val_loss
0,0.6511380690643345,1.185777628016269,0.001,0.5565,2.3009343481063844
1,0.8166583291645823,0.5712279268298643,0.001,0.490125,3.017958294391632
2,0.8608054026715335,0.4298340436695456,0.001,0.7810625,0.9804273003339767
3,0.8812531265334644,0.3536370114915785,0.001,0.47125,4.108369029045105
4,0.8920710355475762,0.32374619549068584,0.001,0.8609375,0.4996317154690623
5,0.9070625,0.2814795420356095,0.001,0.82625,0.727988147765398
6,0.9139764764466444,0.25334248564264794,0.001,0.858,0.5274021446406841
7,0.9176463231615808,0.24515195114872584,0.001,0.8271875,0.7523172788023949
8,0.9300275137866957,0.2108379094495721,0.001,0.8940625,0.38574151567928494
9,0.9282141070535268,0.20858318107449572,0.001,0.896125,0.39632525351736697
10,0.9320285142571285,0.20284797228116164,0.001,0.7729375,1.2416693190634251
11,0.9364057028812429,0.18927157471602174,0.001,0.7725625,1.1806545939594508
12,0.9383125,0.1787996588209644,0.001,0.8768125,0.5207444884330035
13,0.9455705705407385,0.15714493437061408,0.001,0.930375,0.2518417777963914
14,0.9402201100252103,0.17229467625354694,0.001,0.8846875,0.4568763419892639
15,0.9480990494949452,0.15731738217542132,0.001,0.8534375,0.5987729068668559
16,0.948625,0.15301688833534718,0.001,0.8694375,0.6000106127923355
17,0.9555805805507485,0.13166772066946472,0.001,0.8560625,0.622420239213854
18,0.9576038019009505,0.13061715848464378,0.001,0.9266875,0.2762995128885377
19,0.9794272136068034,0.06354395226154266,0.00020000001,0.9698125,0.10090121013895259
