epoch,acc,loss,lr,val_acc,val_loss
0,0.6530011892318726,1.1884161233901978,0.001,0.5221874713897705,2.4391276836395264
1,0.8178750276565552,0.5598922371864319,0.001,0.7608749866485596,0.9159078001976013
2,0.8567500114440918,0.4387916028499603,0.001,0.6165624856948853,1.8249640464782715
3,0.8748200535774231,0.37236329913139343,0.001,0.42012500762939453,4.533161163330078
4,0.8984375,0.3079957067966461,0.001,0.8125,0.6922537088394165
5,0.8999812006950378,0.29779544472694397,0.001,0.6979374885559082,1.6125478744506836
6,0.9093124866485596,0.27912667393684387,0.001,0.8111875057220459,0.7035257816314697
7,0.9106215238571167,0.26925650238990784,0.001,0.9251875281333923,0.23440253734588623
8,0.9207500219345093,0.239916130900383,0.001,0.8414999842643738,0.6613026857376099
9,0.9258750081062317,0.21952807903289795,0.001,0.8798750042915344,0.3922628164291382
10,0.9285625219345093,0.2139602154493332,0.001,0.746999979019165,1.2574588060379028
11,0.9317143559455872,0.20109207928180695,0.001,0.9144999980926514,0.26317349076271057
12,0.9320625066757202,0.1993190348148346,0.001,0.925125002861023,0.25155651569366455
13,0.9620624780654907,0.1123758926987648,0.00020000001,0.9669374823570251,0.09991130232810974
14,0.9711250066757202,0.08438224345445633,0.00020000001,0.9663125276565552,0.10661688446998596
15,0.9727733731269836,0.07975637912750244,0.00020000001,0.9530624747276306,0.16266915202140808
16,0.9746249914169312,0.07259324193000793,0.00020000001,0.9707499742507935,0.0994819849729538
17,0.9760624766349792,0.06759706139564514,0.00020000001,0.9605000019073486,0.13319681584835052
18,0.9760906100273132,0.06396172195672989,0.00020000001,0.9645000100135803,0.1288926899433136
19,0.9781249761581421,0.06217619776725769,0.00020000001,0.9731249809265137,0.08834729343652725
