epoch,class_output_accuracy,class_output_loss,loss,lr,superclass_output_accuracy,superclass_output_loss,val_class_output_accuracy,val_class_output_loss,val_loss,val_superclass_output_accuracy,val_superclass_output_loss
0,0.37008145451545715,2.3418400287628174,4.10643196105957,0.00020000001,0.40094298124313354,1.7645959854125977,0.5158345699310303,1.6749751567840576,2.9848129749298096,0.5638971924781799,1.3098384141921997
1,0.538962721824646,1.624985933303833,3.04268217086792,0.00020000001,0.5181311368942261,1.4176939725875854,0.6190387606620789,1.323991298675537,2.538881778717041,0.6098174452781677,1.2148903608322144
2,0.5941991806030273,1.3875521421432495,2.6732606887817383,0.00020000001,0.5639377236366272,1.285707950592041,0.6389716863632202,1.2029194831848145,2.3040611743927,0.6433494687080383,1.1011415719985962
3,0.6262608766555786,1.2572919130325317,2.4647068977355957,0.00020000001,0.5928561091423035,1.2074146270751953,0.6695231199264526,1.1018601655960083,2.1575047969818115,0.6485655903816223,1.0556434392929077
4,0.6549221277236938,1.153742790222168,2.3057594299316406,0.00020000001,0.6097157001495361,1.1520164012908936,0.6883382797241211,1.0224124193191528,2.0110411643981934,0.6717585921287537,0.9886292815208435
5,0.672981858253479,1.084917664527893,2.1825666427612305,0.00020000001,0.6256608366966248,1.0976483821868896,0.6893628835678101,1.0282567739486694,1.9962525367736816,0.6743665933609009,0.9679961800575256
6,0.6903271675109863,1.0234822034835815,2.0733726024627686,0.00020000001,0.6410915851593018,1.0498871803283691,0.7016579508781433,0.986078679561615,1.88158118724823,0.7042660117149353,0.8955031633377075
7,0.7020717263221741,0.9814119935035706,2.0012688636779785,0.00020000001,0.6516073942184448,1.0198556184768677,0.7102272510528564,0.9677774310112,1.7957549095153809,0.7214046120643616,0.827977180480957
8,0.7154164910316467,0.9373834729194641,1.9295499324798584,0.00020000001,0.6629804372787476,0.99216628074646,0.7272727489471436,0.8865852355957031,1.767714023590088,0.7079917788505554,0.8811293244361877
9,0.7240748405456543,0.9054198861122131,1.8747079372406006,0.00020000001,0.6684954762458801,0.9692870378494263,0.7170268297195435,0.9338629841804504,1.8006446361541748,0.7092958092689514,0.8667815327644348
10,0.7317045331001282,0.8688206076622009,1.8127952814102173,0.00020000001,0.6742963194847107,0.9439736008644104,0.7757079005241394,0.7068656086921692,1.4608498811721802,0.747019350528717,0.7539839148521423
11,0.7388483881950378,0.8455991744995117,1.7694913148880005,0.00020000001,0.6797542572021484,0.923892080783844,0.7413375377655029,0.8496747612953186,1.66731858253479,0.7235469222068787,0.8176448941230774
12,0.7481639981269836,0.8208669424057007,1.730282187461853,0.00020000001,0.6863266229629517,0.909414529800415,0.74161696434021,0.8554654717445374,1.612130045890808,0.7479507923126221,0.7566649913787842
13,0.757536768913269,0.7872061729431152,1.6728310585021973,0.00020000001,0.6907272338867188,0.8856238126754761,0.7659277319908142,0.7408092021942139,1.567525029182434,0.7254098653793335,0.8267157077789307
14,0.762737512588501,0.7678928971290588,1.6409461498260498,0.00020000001,0.69561368227005,0.8730552792549133,0.7707712650299072,0.7567663788795471,1.4556782245635986,0.7647168636322021,0.6989115476608276
15,0.7684526443481445,0.7423241138458252,1.6022692918777466,0.00020000001,0.6990141272544861,0.8599457144737244,0.7418964505195618,0.8732223510742188,1.601646900177002,0.7554023861885071,0.728424072265625
16,0.772081732749939,0.7344442009925842,1.5854893922805786,0.00020000001,0.70467209815979,0.8510447144508362,0.7580104470252991,0.8061670660972595,1.5224534273147583,0.756799578666687,0.7162865400314331
17,0.7790541648864746,0.7101108431816101,1.5402168035507202,0.00020000001,0.7104729413986206,0.8301066756248474,0.7765461802482605,0.743600070476532,1.450721263885498,0.7632265090942383,0.7071207165718079
18,0.7847120761871338,0.6935765743255615,1.5173941850662231,0.00020000001,0.7115016579627991,0.8238171339035034,0.7638785243034363,0.8054490089416504,1.5810195207595825,0.7352831363677979,0.7755696177482605
19,0.7852550148963928,0.686190664768219,1.4927639961242676,0.00020000001,0.7157593965530396,0.8065727949142456,0.7867920994758606,0.6924366354942322,1.3965811729431152,0.7655551433563232,0.7041449546813965
20,0.7904843688011169,0.6665586829185486,1.4564849138259888,0.00020000001,0.7234748005867004,0.7899268865585327,0.7276452779769897,0.9853113293647766,1.743942141532898,0.740964949131012,0.7586298584938049
21,0.7963709235191345,0.6502375602722168,1.4332332611083984,0.00020000001,0.7233319282531738,0.78299480676651,0.7433867454528809,0.9007008075714111,1.6253376007080078,0.7486028075218201,0.7246372103691101
22,0.8007715344429016,0.6351854205131531,1.408803105354309,0.00020000001,0.7293899059295654,0.7736194133758545,0.7996460795402527,0.647856593132019,1.2518569231033325,0.7930327653884888,0.6040005683898926
23,0.80377197265625,0.6284501552581787,1.4048335552215576,0.00020000001,0.7285897731781006,0.776384174823761,0.7725409865379333,0.7442136406898499,1.4505535364151,0.752235472202301,0.7063403129577637
24,0.8074867725372314,0.6140235662460327,1.3769046068191528,0.00020000001,0.7340763211250305,0.762881338596344,0.7685357928276062,0.803242564201355,1.4953266382217407,0.7620156407356262,0.6920840740203857
25,0.809144139289856,0.604852557182312,1.3594791889190674,0.00020000001,0.7369909882545471,0.7546263933181763,0.757079005241394,0.8524923324584961,1.5366581678390503,0.7706781029701233,0.6841663718223572
26,0.8166881203651428,0.5910338163375854,1.3366953134536743,0.00020000001,0.7400199770927429,0.7456613779067993,0.7841840386390686,0.7363385558128357,1.4198036193847656,0.7616430521011353,0.6834654808044434
