epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.28901273012161255,2.6724853515625,0.00020000001,0.40927720069885254,2.0418293476104736
1,0.4007143974304199,2.1319525241851807,0.00020000001,0.47419896721839905,1.7902227640151978
2,0.4486355185508728,1.919610619544983,0.00020000001,0.5145305395126343,1.661331295967102
3,0.4817831218242645,1.7942982912063599,0.00020000001,0.5502980351448059,1.501020073890686
4,0.5054150819778442,1.6993861198425293,0.00020000001,0.5531855225563049,1.492077350616455
5,0.5211887359619141,1.6348919868469238,0.00020000001,0.5837369561195374,1.385955810546875
6,0.5381625890731812,1.5699100494384766,0.00020000001,0.5770305395126343,1.4384382963180542
7,0.5469924211502075,1.532347559928894,0.00020000001,0.5991989374160767,1.3327054977416992
8,0.5552793145179749,1.4942797422409058,0.00020000001,0.5912816524505615,1.3783371448516846
9,0.5622517466545105,1.4633485078811646,0.00020000001,0.6406483054161072,1.2052875757217407
10,0.5655950903892517,1.4519355297088623,0.00020000001,0.6216468214988708,1.27561616897583
11,0.5765109062194824,1.4098124504089355,0.00020000001,0.6142883896827698,1.2921439409255981
12,0.5804829001426697,1.3937289714813232,0.00020000001,0.629470944404602,1.214754581451416
13,0.5866838097572327,1.3677724599838257,0.00020000001,0.625,1.2433964014053345
14,0.5873981714248657,1.3599685430526733,0.00020000001,0.6040424704551697,1.3608880043029785
15,0.6064866185188293,1.299551010131836,4.0000003e-05,0.6411139965057373,1.208930492401123
16,0.6050864458084106,1.3004316091537476,4.0000003e-05,0.6264902949333191,1.2687084674835205
17,0.6089727282524109,1.287126898765564,4.0000003e-05,0.6486586928367615,1.1945276260375977
18,0.6085440516471863,1.293798804283142,4.0000003e-05,0.6413934230804443,1.191186785697937
19,0.6121445894241333,1.2792350053787231,4.0000003e-05,0.622671365737915,1.2842957973480225
20,0.6095727682113647,1.281328797340393,4.0000003e-05,0.6154992580413818,1.3113269805908203
21,0.6112015843391418,1.2831357717514038,4.0000003e-05,0.6231371164321899,1.2664697170257568
22,0.6140305995941162,1.274872899055481,4.0000003e-05,0.6244411468505859,1.2934744358062744
23,0.6148592829704285,1.2674636840820312,4.0000003e-05,0.628912091255188,1.261415719985962
24,0.6145735383033752,1.260444164276123,8.000001e-06,0.6292846202850342,1.2616368532180786
25,0.6155450940132141,1.2607749700546265,8.000001e-06,0.6305886507034302,1.2644206285476685
26,0.6173738837242126,1.25847589969635,8.000001e-06,0.6345007419586182,1.2417634725570679
27,0.6150593161582947,1.260350227355957,8.000001e-06,0.6349664926528931,1.231600284576416
28,0.6134018898010254,1.260238766670227,8.000001e-06,0.6377608180046082,1.2267467975616455
29,0.6198028326034546,1.25538170337677,8.000001e-06,0.6385990977287292,1.224491000175476
