epoch,class_output_accuracy,class_output_loss,loss,lr,superclass_output_accuracy,superclass_output_loss,val_class_output_accuracy,val_class_output_loss,val_loss,val_superclass_output_accuracy,val_superclass_output_loss
0,0.4329454302787781,2.0875895023345947,3.723923444747925,0.00020000001,0.47540682554244995,1.636333703994751,0.5762854218482971,1.4753477573394775,2.823627471923828,0.5597056746482849,1.3482800722122192
1,0.5878032445907593,1.421720027923584,2.753227949142456,0.00020000001,0.5576441884040833,1.3315047025680542,0.6319858431816101,1.2227838039398193,2.4334003925323486,0.5924925208091736,1.2106168270111084
2,0.6427964568138123,1.2079442739486694,2.4158124923706055,0.00020000001,0.5965480208396912,1.207868218421936,0.6997950673103333,0.9757286310195923,2.0733816623687744,0.630495548248291,1.0976529121398926
3,0.6738965511322021,1.0810920000076294,2.2104122638702393,0.00020000001,0.6179164052009583,1.1293226480484009,0.7008196711540222,0.969524621963501,2.0539815425872803,0.6347801685333252,1.0844578742980957
4,0.6978356242179871,0.9935187101364136,2.0706920623779297,0.00020000001,0.6382290124893188,1.0771738290786743,0.7424553036689758,0.838537335395813,1.7550069093704224,0.688524603843689,0.9164703488349915
5,0.7215222120285034,0.9157102108001709,1.9430733919143677,0.00020000001,0.6520232558250427,1.027363896369934,0.7498137354850769,0.7996587157249451,1.7279170751571655,0.6832153797149658,0.9282587766647339
6,0.732585072517395,0.8691219091415405,1.8711309432983398,0.00020000001,0.660010576248169,1.0020102262496948,0.757079005241394,0.7876327037811279,1.7602342367172241,0.6756706237792969,0.9726012945175171
7,0.7468383312225342,0.823894202709198,1.7936065196990967,0.00020000001,0.6699258685112,0.9697137475013733,0.7690946459770203,0.7239895462989807,1.5799646377563477,0.7102272510528564,0.8559747934341431
8,0.7598521709442139,0.7768650054931641,1.7222965955734253,0.00020000001,0.6744474172592163,0.9454323053359985,0.7716095447540283,0.7015949487686157,1.5614217519760132,0.7089232206344604,0.8598268032073975
9,0.7684821486473083,0.7439157366752625,1.6729611158370972,0.00020000001,0.6818379759788513,0.929046094417572,0.7772913575172424,0.7041648626327515,1.664259672164917,0.67911696434021,0.9600948095321655
10,0.7796369194984436,0.7088145017623901,1.6142289638519287,0.00020000001,0.6890908479690552,0.9054169058799744,0.7688152194023132,0.7360721826553345,1.701534628868103,0.6807935833930969,0.9654625654220581
11,0.7865914106369019,0.6890223622322083,1.5780322551727295,0.00020000001,0.694232165813446,0.8890084028244019,0.7800856828689575,0.6927756667137146,1.6656759977340698,0.6849851012229919,0.9729007482528687
12,0.7930179834365845,0.6669967174530029,1.541539192199707,0.00020000001,0.698593020439148,0.8745430111885071,0.751583456993103,0.8143303990364075,1.7799525260925293,0.6777198314666748,0.9656220078468323
13,0.795336127281189,0.6448166966438293,1.5048518180847168,0.00020000001,0.7045605778694153,0.8600355982780457,0.7989009022712708,0.6300460696220398,1.4188693761825562,0.7293218970298767,0.7888235449790955
14,0.8017397522926331,0.6301813721656799,1.4728492498397827,0.00020000001,0.708921492099762,0.842666745185852,0.7862332463264465,0.6848653554916382,1.5816740989685059,0.6963487267494202,0.8968090415000916
15,0.8083040714263916,0.6081371307373047,1.4438061714172363,0.00020000001,0.7111019492149353,0.8356680870056152,0.7893069982528687,0.6647560596466064,1.6477919816970825,0.6812593340873718,0.9830353260040283
16,0.8149372339248657,0.5912795662879944,1.4100970029830933,0.00020000001,0.7167481184005737,0.8188169598579407,0.8320603370666504,0.5235444903373718,1.2944716215133667,0.7381706237792969,0.7709271311759949
17,0.8176455497741699,0.5766770243644714,1.3856101036071777,0.00020000001,0.7197548747062683,0.8089325428009033,0.8220939040184021,0.5627805590629578,1.264438509941101,0.7595007419586182,0.7016580700874329
18,0.8222589492797852,0.5704251527786255,1.3661894798278809,0.00020000001,0.7242764234542847,0.7957660555839539,0.7645305395126343,0.7898592948913574,1.6889147758483887,0.7059426307678223,0.8990556597709656
19,0.8293740749359131,0.5472233891487122,1.3342986106872559,0.00020000001,0.7276504039764404,0.7870758175849915,0.8061661720275879,0.6246585249900818,1.514739751815796,0.7149776220321655,0.8900807499885559
20,0.8291445970535278,0.5420337915420532,1.3248460292816162,0.00020000001,0.7282242178916931,0.7828118801116943,0.8233047723770142,0.5625436305999756,1.3438960313796997,0.7323025465011597,0.7813520431518555
21,0.8323578834533691,0.5301140546798706,1.3020243644714355,0.00020000001,0.7307948470115662,0.7719104886054993,0.8193926811218262,0.5715541243553162,1.5227015018463135,0.68423992395401,0.9511476159095764
22,0.8377057313919067,0.513681948184967,1.2706048488616943,0.00020000001,0.7355918288230896,0.7569234371185303,0.7636922597885132,0.7853922247886658,1.7213106155395508,0.7013785243034363,0.9359180927276611
23,0.855654239654541,0.45537760853767395,1.1678950786590576,4.0000003e-05,0.7526452541351318,0.7125188112258911,0.8365312814712524,0.5209100246429443,1.3231838941574097,0.7306259274482727,0.8022741079330444
24,0.8590052723884583,0.44431865215301514,1.1526343822479248,4.0000003e-05,0.7539305686950684,0.70831698179245,0.8355998396873474,0.5169454216957092,1.3446722030639648,0.7323956489562988,0.8277268409729004
25,0.8620578646659851,0.43446648120880127,1.1345399618148804,4.0000003e-05,0.7564553022384644,0.7000740766525269,0.8274962902069092,0.555488646030426,1.2949193716049194,0.7450633645057678,0.7394305467605591
26,0.861920177936554,0.43453043699264526,1.1366428136825562,4.0000003e-05,0.7547568082809448,0.7021138668060303,0.8241430521011353,0.5633511543273926,1.475959300994873,0.7042660117149353,0.9126078486442566
27,0.8629071116447449,0.4334056079387665,1.1265132427215576,4.0000003e-05,0.7586127519607544,0.693107545375824,0.8342027068138123,0.5373117923736572,1.325706958770752,0.7350037097930908,0.7883952856063843
28,0.8641924262046814,0.4306451678276062,1.122524619102478,4.0000003e-05,0.7587504982948303,0.6918797492980957,0.8356930017471313,0.5168628692626953,1.2966336011886597,0.7404992580413818,0.7797706127166748
29,0.8637334108352661,0.42785540223121643,1.1244150400161743,4.0000003e-05,0.7548716068267822,0.6965588927268982,0.8468703627586365,0.47918641567230225,1.2132970094680786,0.7527943253517151,0.734110414981842
