epoch,class_output_accuracy,class_output_loss,loss,lr,superclass_output_accuracy,superclass_output_loss,val_class_output_accuracy,val_class_output_loss,val_loss,val_superclass_output_accuracy,val_superclass_output_loss
0,0.3803851306438446,2.2469120025634766,3.9338254928588867,0.001,0.44905781745910645,1.6869120597839355,0.5800111889839172,1.3951035737991333,2.6967976093292236,0.5751676559448242,1.3016941547393799
1,0.5396727323532104,1.5606403350830078,2.941075563430786,0.001,0.5400399565696716,1.3804397583007812,0.6394373774528503,1.1629441976547241,2.3467772006988525,0.6046944856643677,1.1838325262069702
2,0.5927838683128357,1.3655365705490112,2.6185319423675537,0.001,0.5802060961723328,1.252995491027832,0.681631863117218,1.0114132165908813,2.159672260284424,0.6066505312919617,1.1482588052749634
3,0.623631477355957,1.2438443899154663,2.4314682483673096,0.001,0.6018040180206299,1.1876249313354492,0.6924366354942322,0.9774158000946045,2.069129705429077,0.6329172849655151,1.0917140245437622
4,0.6542955040931702,1.1365896463394165,2.2767493724823,0.001,0.6176180243492126,1.1401630640029907,0.7043591737747192,0.9373756647109985,1.8969943523406982,0.6820976138114929,0.9596180319786072
5,0.678578794002533,1.049646258354187,2.143777370452881,0.001,0.6309990882873535,1.0941311120986938,0.7198211550712585,0.8688530921936035,1.921892523765564,0.6665424704551697,1.0530389547348022
6,0.7029080390930176,0.9631179571151733,2.0287599563598633,0.001,0.6403635740280151,1.0656418800354004,0.8029992580413818,0.6096428036689758,1.427085280418396,0.7272727489471436,0.8174418210983276
7,0.7185154557228088,0.9142099022865295,1.9383924007415771,0.001,0.6520002484321594,1.0241825580596924,0.7758010625839233,0.6944980621337891,1.5662797689437866,0.7141393423080444,0.8717805743217468
8,0.7316440343856812,0.8636141419410706,1.8688173294067383,0.001,0.6570497155189514,1.005204439163208,0.7838114500045776,0.657311737537384,1.4984608888626099,0.7100409865379333,0.8411493301391602
9,0.7458284497261047,0.8195500373840332,1.7968484163284302,0.001,0.6662764549255371,0.9772976040840149,0.7631334066390991,0.7763075232505798,1.8305416107177734,0.6602086424827576,1.0542341470718384
10,0.7584980130195618,0.7744169235229492,1.7336277961730957,0.001,0.6727489829063416,0.9592113494873047,0.8256334066390991,0.5424492955207825,1.3374320268630981,0.7383569478988647,0.7949832081794739
